,Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
197,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-26 16:15:00-05:00,2025-05-26,16:15:00
198,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-26 18:15:00-05:00,2025-05-26,18:15:00
199,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-26 20:15:00-05:00,2025-05-26,20:15:00
200,PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-27 20:15:00-05:00,2025-05-27,20:15:00
201,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-27 18:00:00-05:00,2025-05-27,18:00:00
202,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-27 18:15:00-05:00,2025-05-27,18:15:00
203,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-27 20:30:00-05:00,2025-05-27,20:30:00
204,PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-28 18:00:00-05:00,2025-05-28,18:00:00
205,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-28 20:30:00-05:00,2025-05-28,20:30:00
206,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-28 18:15:00-05:00,2025-05-28,18:15:00
207,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-28 20:15:00-05:00,2025-05-28,20:15:00
208,PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-29 20:15:00-05:00,2025-05-29,20:15:00
209,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-29 18:00:00-05:00,2025-05-29,18:00:00
210,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-29 20:30:00-05:00,2025-05-29,20:30:00
211,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-29 18:15:00-05:00,2025-05-29,18:15:00
212,MAGIC FARM,2025,Amalia Ulman,2025-05-02 18:00:00-05:00,2025-05-02,18:00:00
213,LOVE HOTEL,1985,Shinji Somai,2025-05-02 18:15:00-05:00,2025-05-02,18:15:00
214,LOVE HOTEL,1985,Shinji Somai,2025-05-02 20:15:00-05:00,2025-05-02,20:15:00
215,MAGIC FARM,2025,Amalia Ulman,2025-05-02 20:30:00-05:00,2025-05-02,20:30:00
216,YOUNG HEARTS,2024,Anthony Schatteman,2025-05-03 12:45:00-05:00,2025-05-03,12:45:00
217,MAGIC FARM,2025,Amalia Ulman,2025-05-03 13:00:00-05:00,2025-05-03,13:00:00
218,LOVE HOTEL,1985,Shinji Somai,2025-05-03 15:00:00-05:00,2025-05-03,15:00:00
219,MAGIC FARM,2025,Amalia Ulman,2025-05-03 15:15:00-05:00,2025-05-03,15:15:00
220,YOUNG HEARTS,2024,Anthony Schatteman,2025-05-03 17:15:00-05:00,2025-05-03,17:15:00
221,MAGIC FARM,2025,Amalia Ulman,2025-05-03 18:00:00-05:00,2025-05-03,18:00:00
222,LOVE HOTEL,1985,Shinji Somai,2025-05-03 19:45:00-05:00,2025-05-03,19:45:00
223,MAGIC FARM,2025,Amalia Ulman,2025-05-03 20:30:00-05:00,2025-05-03,20:30:00
224,CAN I GET A WITNESS?,2024,Ann Marie Fleming,2025-05-17 19:00:00-05:00,2025-05-17,19:00:00
225,WRITTEN ON THE WIND,1956,Douglas Sirk,2025-06-01 13:30:00-05:00,2025-06-01,13:30:00
226,WHAT EVER HAPPENED TO BABY JANE?,1962,Robert Aldrich,2025-06-02 17:45:00-05:00,2025-06-02,17:45:00
227,"BLACK HARVEST PRESENTS: MAHOGANY AT 50 — ON STYLE, MEMORY, AND MEANING",2025,Various directors,2025-06-03 18:00:00-05:00,2025-06-03,18:00:00
228,M*A*S*H,1970,Robert Altman,2025-06-04 18:00:00-05:00,2025-06-04,18:00:00
229,GREY GARDENS,1975,"David Maysles, Albert Maysles, Ellen Hovde, Muffie Meyer",2025-06-05 18:00:00-05:00,2025-06-05,18:00:00
230,FEMALE TROUBLE,1974,John Waters,2025-06-06 20:00:00-05:00,2025-06-06,20:00:00
231,M*A*S*H,1970,Robert Altman,2025-06-07 14:00:00-05:00,2025-06-07,14:00:00
232,SHOWGIRLS,1995,Paul Verhoeven,2025-06-07 20:30:00-05:00,2025-06-07,20:30:00
233,MOMMIE DEAREST,1981,Frank Perry,2025-06-08 16:00:00-05:00,2025-06-08,16:00:00
234,WRITTEN ON THE WIND,1956,Douglas Sirk,2025-06-09 18:15:00-05:00,2025-06-09,18:15:00
235,BREWSTER MCCLOUD,1970,Robert Altman,2025-06-11 18:00:00-05:00,2025-06-11,18:00:00
236,BOOM!,1968,Joseph Losey,2025-06-13 20:15:00-05:00,2025-06-13,20:15:00
