Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
Parasite,2019,Bong Joon Ho,/movie/parasite/,Parasite,2019,Bong Joon Ho,0.97,132,"Meet the Park Family: the picture of aspirational wealth. And the Kim Family, rich in street smarts but not much else. Be it chance or fate, these two houses are brought together and the Kims sense a golden opportunity. Masterminded by college-aged Ki-woo, the Kim children expediently install themselves as tutor and art therapist, to the...","Bong Joon Ho, Han Jin-won"
Sound of Metal,2019,Darius Marder,/movie/sound-of-metal/,Sound of Metal,2020,Darius Marder,0.82,120,"During a series of adrenaline-fueled one-night gigs, itinerant punk-metal drummer Ruben (Riz Ahmed) begins to experience intermittent hearing loss. When a specialist tells him his condition will rapidly worsen, he thinks his music career — and with it his life — is over. His bandmate and girlfriend Lou (Olivia Cooke) checks the recoverin...","Darius Marder, Abraham Marder, Derek Cianfrance"
Nomadland,2020,Chloé Zhao,/movie/nomadland/,Nomadland,2020,Chloé Zhao,0.87,107,"Following the economic collapse of a company town in rural Nevada, Fern (Frances McDormand) packs her van and sets off on the road exploring a life outside of conventional society as a modern-day nomad.","Chloé Zhao, Jessica Bruder"
The Card Counter,2021,Paul Schrader,/movie/the-card-counter/,The Card Counter,2021,Paul Schrader,0.78,109,"William Tell (Oscar Isaac) is a gambler and former serviceman who sets out to reform a young man seeking revenge on a mutual enemy from their past. Tell just wants to play cards. His spartan existence on the casino trail is shattered when he is approached by Cirk (Tye Sheridan), a vulnerable and angry young man seeking help to execute hi...",Paul Schrader
Raw,2016,Julia Ducournau,/movie/raw/,Raw,2017,Julia Ducournau,0.81,99,"Everyone in Justine’s family is a vet and a vegetarian. At sixteen she’s a brilliant student starting out at veterinary school where she experiences a decadent, merciless and dangerously seductive world. Desperate to fit in, she strays from her family principles and eats raw meat for the first time. Justine will soon face the terrible an...",Julia Ducournau
Titane,2021,Julia Ducournau,/movie/titane/,Titane,2021,Julia Ducournau,0.75,108,"TITANE: A metal, highly resistant to heat and corrosion, its high tensile strength alloys often used in medical prostheses due to pronounced biocompatibility.","Julia Ducournau, Jacques Akchoti, Simonetta Greggio, Jean-Christophe Bouzy"
The Power of the Dog,2021,Jane Campion,/movie/the-power-of-the-dog/,The Power of the Dog,2021,Jane Campion,0.89,125,"Charismatic rancher Phil Burbank (Benedict Cumberbatch) inspires fear and awe in those around him. When his brother (Jesse Plemons) brings home a new wife (Kirsten Dunst) and her son (Kodi Smit-McPhee), Phil torments them until he finds himself exposed to the possibility of love.","Jane Campion, Thomas Savage"
In the Cut,2003,Jane Campion,/movie/in-the-cut/,In the Cut,2003,Jane Campion,0.47,119,"In the underbelly of lower Manhattan, Frannie Avery (Meg Ryan), a reserved English professor, becomes obsessed after seeing more than she should of an impassioned couple. After the young woman turns up dead, Frannie is questioned by a homicide detective (Mark Ruffalo) who draws her into a liberating but disturbing erotic encounter. As th...","Jane Campion, Susanna Moore, Stavros Kazantzidis"
Sweetie,1989,Jane Campion,/movie/sweetie/,Sweetie,1989,Jane Campion,0.81,97,An introspective young woman's life is upturned by the arrival of her maladjusted sister.,"Gerard Lee, Jane Campion"
BlackBerry,2023,Matt Johnson,/movie/blackberry/,BlackBerry,2023,Matt Johnson,0.78,119,"The “true story” of the meteoric rise & catastrophic demise of the world’s first smartphone, BlackBerry is a whirlwind ride through a ruthlessly competitive Silicon Valley.","Jacquie McNish, Sean Silcoff, Matt Johnson, Matthew Miller"
